Código;Nombre;Marca;Nombre marca;Familia;Nombre familia;;;;;;;;;
1105;CHORIZO BARBACOA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
006;CHORIZO CULAR BELLOTA IBERICO DULCE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
007;CHORIZO CULAR BELLOTA IBERICO PICANTE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0662;CHORIZO CULAR CEBO IBERICO C-B/R;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0661;CHORIZO CULAR CEBO IBERICO DULCE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0061;CHORIZO CULAR DULCE SERRANO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0071;CHORIZO CULAR PICANTE SERRA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
102;CHORIZO FRESCO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0111;CHORIZO MATANZA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0082;CHORIZO VELA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
2121;CHULETA DE PAVO;;;AAAA9;-9-AVES;;;;;;;;;
7200033;CHULETA PAVO ADOBADA AJILLO;;;AA003;-003-FIAMBRES;;;;;;;;;
123;CHULETERO C/CABEZA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
6;CHULETERO DE SAJONIA;;;AA003;-003-FIAMBRES;;;;;;;;;
241;CHULETERO DE TERNERA;;;AA004;-004-VARIOS;;;;;;;;;
406;COCHINILLO CONGELADO 5/6;;;AA004;-004-VARIOS;;;;;;;;;
407;COCHINILLO CONGELADO 7/8;;;AA004;-004-VARIOS;;;;;;;;;
404;COCHINILLO CONGELADO ENCALLADO 6/7;;;AA004;-004-VARIOS;;;;;;;;;
405;COCHINILLO FRESCO ENCALLADO 4/5;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
216;CODILLOS DE JAMON PARTIDOS;;;AA006;-006-JAMONES;;;;;;;;;
142;CODILLOS DE PALETA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
218;CODILLOS JAMON ENTEROS;;;AA006;-006-JAMONES;;;;;;;;;
1100000;CODORNICES SUPER;;;AAAA9;-9-AVES;;;;;;;;;
1100003;COKELET;;;AAAA9;-9-AVES;;;;;;;;;
1000;COMPRA EN TIENDA;;;AA004;-004-VARIOS;;;;;;;;;
109;CONEJOS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
222;CORTEZAS LENG D'OR GAVIOTA;;;AA008;-008-PRECOCINADOS;;;;;;;;;
129;COSCARONES;;;AA004;-004-VARIOS;;;;;;;;;
