Código;Nombre;Marca;Nombre marca;Familia;Nombre familia;;;;;;;;;
1003;TORREZNOS;;;AA004;-004-VARIOS;;;;;;;;;
0192;TROZOS DE JAMON;;;AA002;-002-EMBUTIDOS;;;;;;;;;
2353;VARIOS;;;AA004;-004-VARIOS;;;;;;;;;
2354;VARIOS;;;AA005;-005-QUESOS;;;;;;;;;
235;VARIOS;;;AA004;-004-VARIOS;;;;;;;;;
143;VICTORINO 2009 (6B);;;AA004;-004-VARIOS;;;;;;;;;
2151;VINO;;;AA004;-004-VARIOS;;;;;;;;;
215;VINO TINTO IBELIER;;;AA004;-004-VARIOS;;;;;;;;;
01001;VIRUTAS CELLOPHANE PLATA;;;AA004;-004-VARIOS;;;;;;;;;
29;VIRUTAS DE JAMON;;;AA006;-006-JAMONES;;;;;;;;;
0204;YORK A LA BRASA;;;AA003;-003-FIAMBRES;;;;;;;;;
2032;YORK COCIDO EXTRA CAMPO.;;;AA003;-003-FIAMBRES;;;;;;;;;
2030;YORK EXTRA SIN SAL;;;AA003;-003-FIAMBRES;;;;;;;;;
